title,description,start,end,rendering
Reunião de Alinhamento,Discussão sobre metas e planejamento do trimestre.,2025-01-15T10:00,2025-01-15T16:00,background
Reunião,Definição de prioridades e próximos passos do projeto.,2025-01-13T08:00,2025-01-13T14:15,background
Reunião de Commits,Revisão e aprovação dos últimos commits do sprint.,2025-02-19,2025-02-22,background
Planejamento Estratégico,Definição das estratégias para o próximo semestre.,2025-03-05T09:00,2025-03-05T12:00,background
Sprint Review,Apresentação dos resultados do sprint e coleta de feedback.,2025-03-12T14:00,2025-03-12T17:30,background
Workshop de Inovação,Exploração de novas ideias para produtos e serviços.,2025-04-01T13:00,2025-04-03T18:00,background
Reunião de Feedback,Avaliação de desempenho e sugestões de melhoria.,2025-04-10T11:00,2025-04-10T13:00,background
Daily Standup,Atualizações rápidas sobre o andamento das tarefas diárias.,2025-05-02T08:30,2025-05-02T09:00,background
Reunião de Status,Monitoramento do progresso do projeto e resolução de impedimentos.,2025-06-15T15:00,2025-06-15T16:00,background
Brainstorming,Geração de ideias para novas funcionalidades do sistema.,2025-07-20,2025-07-22,background
Revisão de Projetos,Análise dos projetos em andamento e ajustes necessários.,2025-08-03T10:00,2025-08-03T12:00,background
Sessão de Treinamento,Capacitação da equipe em novas ferramentas e processos.,2025-09-12T09:00,2025-09-14T17:00,background
Kick-off do Projeto,Apresentação do escopo cronograma e objetivos do novo projeto.,2025-10-01T14:00,2025-10-01T17:00,background
Reunião de Encerramento,Conclusão do projeto e avaliação dos resultados alcançados.,2025-11-18T09:00,2025-11-18T11:30,background
Análise de Resultados,Revisão dos indicadores e métricas de desempenho.,2025-12-05,2025-12-07,background